bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
5.96303,1.51351,6.56805,0.62774,0.589237,0,0,0,1.0,84,3.81123,7.55692,0.565602,0.146583,-5.55405,-9.13648,15.884,11.8248,-14.2172,-11.5934,4.0171,1.76721,12.0516,16,-0.615639,
0.45269,6.45757,-12.5703,0.627715,0.320074,0,0,0,0.176,85,4.6598,2.0813,1.75525,0.442649,6.45923,3.29542,11.4032,7.4453,-5.21993,-1.1642,-12.8432,14.887,14.0579,13.3883,-14.2205,
6.25665,0.822332,-10.0455,0.627702,0.35903,0,0,0,0.51,86,1.34416,2.13091,3.4744,11.7412,5.40297,-7.86805,7.53143,9.21218,5.17034,-13.5479,-3.48929,10.5492,10.495,13.225,-16,
0.0692207,6.5809,5.97917,0.627763,0.0524917,0,0,0,0.373,87,5.57496,0.504868,1.87069,4.24049,7.01383,-1.19031,5.60746,8.10467,-12.1903,-2.19961,-10.1805,0.619306,11.1882,10.4168,-8.76654,
-2.74296,3.71541,4.72885,0.627747,0.578335,0,0,0,1.0,88,3.91914,1.30898,0.845038,-3.61648,11.5203,-12.89,14.0306,-7.5228,-11.8371,2.86148,-14.4256,-1.40762,7.8283,4.84537,-15.6668,
-2.93162,-1.77724,-11.7647,0.627747,0.244146,0,0,0,0.373,89,0.5,0.621213,3.97941,15.7035,11.517,-1.46753,14.636,4.96142,3.09412,-14.3941,-5.99938,10.2298,8.73526,6.33973,-14.5673,
2.47113,1.25726,8.19463,0.627736,0.589672,0,0,0,1.0,90,1.6324,5.03399,0.737288,5.42004,-2.12695,-1.9448,13.3064,12.026,-15.7731,-12.146,0.198544,-0.668466,10.0372,14.5285,2.31777,
10.7216,10.0028,-11.9738,0.627638,0.348992,0,0,0,0.314,91,7.74212,4.21411,0.678137,-14.5277,-6.31534,-5.5456,10.0015,5.89026,-10.8552,-12.6626,-10.1773,15.9271,1.22434,16,-15.1962,
10.3837,8.24277,-4.18174,0.627696,0.372155,0,0,0,0.529,92,3.13199,1.05755,4.1801,2.08848,1.79627,9.03567,7.22694,2.25557,-14.4759,-15.9563,-11.8839,4.58224,14.423,7.02878,-11.3883,
5.69346,8.54136,-0.888178,0.627649,0.502172,0,0,0,0.725,93,1.99825,3.19092,1.30001,11.7508,6.03864,-5.68477,-3.48889,-1.80055,-3.04517,-9.86951,-10.0599,3.88418,10.8527,15.4417,-8.25454,
-1.03832,4.27392,-14.4005,0.627237,0.43749,0,0,0,0.471,94,1.77988,0.893645,7.04958,15.9197,15.9758,10.4517,8.80103,-10.1143,-5.25518,-5.3618,-13.7116,9.93899,13.2704,7.1444,-15.8247,
10.7202,-2.68879,-2.43162,0.627751,0.140688,0,0,0,0.333,95,3.00484,0.581079,1.77145,15.6684,12.9217,1.07994,-12.6251,-0.754383,-11.2057,-15.2088,-6.1765,4.41772,13.6127,6.63282,-10.9252,
0.229729,9.27552,-2.54154,0.627657,0.516431,0,0,0,0.608,96,4.06535,2.95514,4.33879,-15.8685,-10.0662,7.35858,13.3024,15.6579,-13.4544,-0.336052,-7.48034,1.31515,-4.71083,15.1391,-12.3214,
4.01361,3.51313,-8.91149,0.627366,0.463545,0,0,0,0.647,97,0.785929,8.28787,4.33164,11.7818,-10.1391,6.22854,-0.770597,15.5024,-13.1704,-12.6737,0.483768,8.83285,4.52372,15.9891,-15.9206,
2.1857,12.7364,3.10344,0.627643,0.556794,0,0,0,0.824,98,2.1564,1.02489,1.24959,14.2195,-0.637557,-12.7546,9.91637,-4.3513,-7.70172,-12.4258,-16,0.452249,14.5497,8.44651,-15.4427,
2.75328,-1.18662,11.6132,0.627693,0.58913,0,0,0,1.0,99,9.59125,0.89629,3.43314,-3.98756,14.3192,-5.12488,10.5244,1.63364,-15.8668,-2.28932,-4.62047,-9.53074,13.5077,11.1695,-13.9396,
1.53356,8.18227,-1.85285,0.627359,0.567013,0,0,0,0.922,100,3.16614,7.07365,1.66929,13.8543,-7.59507,-13.7533,7.55845,5.76687,1.72006,-6.53168,-3.13578,4.27666,16,16,-15.548,
