bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
0.592249,0.66835,1.94039,0.619812,0.621212,1,1,1,1.0,90,2.62403,3.53007,1.14213,5.40015,0.791686,-2.3581,15.5908,11.6462,-16,-8.55701,-0.788361,5.26451,10.3691,16,-4.57332,
-0.432585,3.26586,1.45665,0.626239,0.626082,1,1,1,1.0,91,0.502476,0.565072,4.4029,14.3125,15.7947,0.135776,15.1575,-6.32684,-16,-14.4324,-15.0901,-3.2379,-0.18646,14.3771,-15.2447,
0.0708211,1.06243,0.557103,0.625958,0.626245,1,1,1,1.0,92,7.84231,1.40385,1.77842,-10.21,9.84965,3.55362,15.408,12.8451,-15.3559,1.9104,-12.2564,-1.08427,10.4957,11.4843,-15.3448,
1.40117,3.7803,1.29589,0.623211,0.625039,1,1,1,1.0,93,0.935633,1.03774,0.540721,-2.04405,7.7327,-15.9672,14.5875,3.99772,-3.01109,-15.9152,-14.8592,2.93105,-5.22491,15.8716,-14.5128,
-1.08103,5.48583,1.59149,0.624392,0.624585,1,1,1,1.0,94,3.25996,0.897848,1.73661,6.87101,15.9894,-15.339,15.9901,-3.81816,1.44538,-5.39622,-15.7859,-1.48701,12.5517,13.0282,-15.9845,
0.684353,-0.931237,-2.85494,0.623913,0.621308,1,1,1,1.0,95,4.4987,6.90995,2.97971,8.09028,-1.63197,-3.60303,12.3221,9.43733,-15.9731,-6.7805,7.47991,9.9852,12.469,15.964,-12.0581,
0.427125,0.18045,0.961187,0.6222,0.62222,1,1,1,1.0,96,4.29511,2.6422,4.56753,-10.4055,-1.11154,-0.541704,14.7657,14.1834,-12.8089,-0.0511244,-1.31014,-1.82079,-3.09737,15.8245,-12.0116,
1.44007,-1.30067,-0.986859,0.622631,0.622681,1,1,1,1.0,97,1.87357,0.773092,5.10919,2.42885,13.7611,4.74968,13.1562,0.792651,-15.9614,-12.3403,-0.129497,2.97508,-2.84256,15.9105,-11.1043,
-2.79036,2.54659,1.38572,0.623889,0.626055,1,1,1,1.0,98,6.99922,1.01134,1.27069,7.19361,6.90106,-12.7255,14.6292,-0.97811,-10.4166,2.02883,-9.58795,3.10897,15.7681,12.3148,-12.4558,
2.3002,-0.122468,-0.0843548,0.622933,0.623765,1,1,1,1.0,99,5.455,3.80899,1.35224,-2.03445,-4.51573,-12.8786,15.4751,15.8496,-12.6604,-5.89542,1.57096,10.2471,8.55936,16,-11.9129,
0.931573,0.740753,0.665892,0.6242,0.625969,1,1,1,1.0,100,6.91934,0.55135,1.83808,-7.35291,15.822,3.11182,15.5144,-1.69032,-14.509,-1.29935,-13.8137,-1.00131,7.71712,4.59991,-14.0272,
